InvoiceID;Date;Time;Name;Gender;Age;Type;Branch;ProductLine
OLI-HBE-036;2/19/2021;15:53:13;Saul Jarvis;Male;72;Normal;Olinger;Health and beauty
OLI-HBE-037;2/24/2021;20:41:08;Heather Baxter;Female;84;Member;Olinger;Health and beauty
OLI-HBE-038;1/23/2021;17:56:04;Lloyd Cabrera;;47;Normal;Olinger;Health and beauty
OLI-HBE-039;1/14/2021;16:38:27;Kyle Kent;Male;23;Member;Olinger;Health and beauty
OLI-HBE-040;2/15/2021;21:41:22;Gilbert Roe;Male;59;Member;Olinger;Health and beauty
OLI-HBE-041;1/14/2021;09:45:43;Santiago Sexton;Male;53;Normal;Olinger;Health and beauty
OLI-HBE-042;1/26/2021;15:09:59;Curtis Eaton;Male;63;Member;Olinger;Health and beauty
OLI-HBE-043;1/17/2021;09:15:19;Carolyn Jordan;Female;29;Member;Olinger;Health and beauty
OLI-HBE-044;2/21/2021;18:02:42;Toni Moody;Female;73;Normal;Olinger;Health and beauty
OLI-HBE-045;3/2/2021;10:44:37;Gary Law;Male;79;Member;Olinger;Health and beauty
OLI-HBE-046;2/14/2021;10:18:13;Carolina Frazier;Female;45;Normal;Olinger;Health and beauty
OLI-HBE-047;2/9/2021;11:19:33;Rogelio Ferguson;Male;32;Normal;Olinger;Health and beauty
OLI-HBE-048;1/20/2021;12:29:52;Pat Huber;Male;87;Normal;Olinger;Health and beauty
OLI-HBE-049;1/5/2021;12:43:41;Gabriela Grant;Female;23;Normal;Olinger;Health and beauty
OLI-HBE-050;1/23/2021;17:50:44;Gordon McNeil;Male;57;Normal;Olinger;Health and beauty
OLI-HBE-051;1/29/2021;19:46:30;Michael Galvan;Male;35;Normal;Olinger;Health and beauty
OLI-HML-001;2/24/2021;13:14:47;Katy Morales;Female;39;Normal;Olinger;Home and lifestyle
OLI-HML-002;2/2/2021;20:58:14;Charlie Stanton;Male;51;Member;Olinger;Home and lifestyle
OLI-HML-003;2/24/2021;14:58:42;Richard Kline;Male;55;Normal;Olinger;Home and lifestyle
OLI-HML-004;1/23/2021;14:18:35;Leslie Gould;Female;80;Member;Olinger;Home and lifestyle
OLI-HML-005;2/1/2021;18:40:39;Sarah Becker;Female;37;Member;Olinger;Home and lifestyle
OLI-HML-006;3/13/2021;10:28:30;Erick Rice;Male;64;Member;Olinger;Home and lifestyle
OLI-HML-007;1/16/2021;14:36:49;Nathaniel Shelton;Male;75;Normal;Olinger;Home and lifestyle
OLI-HML-008;1/28/2021;11:14:29;Monique Vance;Female;61;Normal;Olinger;Home and lifestyle
OLI-HML-009;3/18/2021;19:33:02;Monica Kane;Female;68;Member;Olinger;Home and lifestyle
OLI-HML-010;3/14/2021;18:01:31;Jeffrey Lopez;Male;66;Normal;Olinger;Home and lifestyle
OLI-HML-011;1/7/2021;17:28:10;Ingrid Davidson;Female;88;Member;Olinger;Home and lifestyle
OLI-HML-012;3/6/2021;08:03:40;Marcos Sanford;Male;67;Normal;Olinger;Home and lifestyle
OLI-HML-013;3/24/2021;18:43:38;Ricky Owens;Male;85;Member;Olinger;Home and lifestyle
OLI-HML-014;1/19/2021;09:28:38;Viola Hardin;Female;66;Member;Olinger;Home and lifestyle
OLI-HML-015;1/20/2021;21:53:23;Jennie Rush;Female;89;Member;Olinger;Home and lifestyle
OLI-HML-016;3/14/2021;12:35:41;Christi Finn;Female;25;Normal;Olinger;Home and lifestyle
